Country,min_mse_female_validation_RotatedLC,min_mse_male_validation_RotatedLC,mse_male_test_RotatedLC,mse_female_test_RotatedLC,min_mse_female_validation_LCwithGAM,min_mse_male_validation_LCwithGAM,mse_male_test_LCwithGAM,mse_female_test_LCwithGAM
AUS,0.0192528282662434,0.0381910742469378,0.108290070732072,0.0424770083936386,0.0213834696025763,0.0190030598179484,0.164271614359687,0.0602519071794993
AUT,0.0456820710070839,0.0268506222126251,0.0985314174667789,0.0822022249499774,0.0486646351352646,0.0267657306930365,0.105536247077952,0.105522036256703
BEL,0.0402615969700914,0.0283964284989084,0.0888184365765865,0.0778465113436163,0.0403915555517992,0.0239764520471651,0.0894871562401485,0.110102071725032
BGR,0.0493570377198485,0.0943935378645499,0.267107901030198,0.0949684208933906,0.0481612036015947,0.0302248042042306,0.0963397900782559,0.10869041119055
BLR,0.0782585419442479,0.0953822813621993,0.301552032893203,0.243072395515978,0.0438538909450658,0.0513877062789855,0.2638420148932,0.160001843808462
CAN,0.0134900983233626,0.0250936543916776,0.0676722827581497,0.0420875192671529,0.0164470537002387,0.0132708962643499,0.0735038711694413,0.0820347028703362
CHE,0.0592744430929632,0.0562944921882902,0.216389891376682,0.118772910582482,0.0583660658941663,0.0491994129433982,0.315315840498914,0.231137262940164
CZE,0.0428837977002083,0.0483013261475031,0.240788008219089,0.177156317864619,0.041545731689253,0.0370975792107493,0.2206336402256,0.16694917514854
DEUTE,0.0679572998855589,0.077042377169148,0.364581511458658,0.265906407328393,0.0646194434281613,0.0516398515184269,0.342547445871828,0.260222321664301
DEUTW,0.00855952114566512,0.016562768020858,0.112767716230039,0.0241362734825128,0.0103934483150141,0.0171906951269023,0.110821947743851,0.0297661156142558
DNK,0.0690613341293612,0.0652611985905435,0.311899954175246,0.24397400824998,0.0584400216211932,0.0495556856789926,0.259740175335033,0.185649151066439
ESP,0.0233127190720295,0.104960288134945,0.58055758583906,0.0404438448753166,0.0240590724925059,0.0601668273840628,0.732973543833741,0.101964352477732
EST,0.140683116258772,0.12177535971011,0.406922607597731,0.375396858120944,0.130626515558289,0.108353730932584,0.326194972162766,0.365308484677812
FIN,0.0775906187436371,0.0552757637957254,0.119611918768177,0.134654191773475,0.0773253922038722,0.04552141973628,0.117461707492539,0.170346693211794
FRATNP,0.0134013503551711,0.0253769425108587,0.0949181602276273,0.0429420372163395,0.0112223210674009,0.0162986693828456,0.0984553019280058,0.0944854815681782
GBR_NIR,0.132404719935946,0.112278967191601,0.180143607457415,0.186899172544766,0.122352980605431,0.083614351252815,0.217922346973338,0.181496725039261
GBR_NP,0.0103102964768666,0.039871163657352,0.110716516496876,0.0306536269558006,0.00806339591048421,0.00802110658453026,0.0806180588298611,0.0414056725010089
GBR_SCO,0.065307544305273,0.0914738964766981,0.201774816283155,0.130029973399706,0.0683002882334873,0.043230383509216,0.182690795800916,0.150436172275131
GBRTENW,0.0114183522372448,0.0407464094067232,0.111151294464983,0.0322769805797491,0.00926165986082698,0.00915146241656227,0.0807451861604065,0.0436711667540054
GRC,0.0437375517081072,0.0408039525932195,0.173520688075684,0.0986454961059627,0.0491335919128403,0.0284059773213655,0.138329277538463,0.134157604286059
HKG,0.129583133420357,0.112283664780267,0.322134350285471,0.431409216862137,0.147437087833887,0.103492410280941,0.356727932593718,0.607503224300808
HUN,0.079277997172517,0.191303796310439,0.524148915010971,0.320400630990992,0.0460783276945142,0.044630824122892,0.484579801092868,0.305577101451518
IRL,0.0889792915609301,0.0971702814953728,0.19300247239116,0.136205499616477,0.0924637595948059,0.0510101874425568,0.147320100743209,0.221923741166715
ISL,0.277157014714492,0.228590562766166,0.314332845936517,0.45756045787964,0.232800984852777,0.210889508105547,0.318584163303883,0.832736830406493
ISR,0.0808108108909655,0.0444030230542964,0.148953987540643,0.274230364155081,0.116752918596968,0.0441238250134665,0.143265724061368,0.50145875162443
ITA,0.0221888194255103,0.0430023611823281,0.088648185395785,0.0324352410345836,0.0309025325520766,0.029636160541094,0.118032541662658,0.173754437469052
JPN,0.0238233213483461,0.0245538062236521,0.133559827342321,0.139521186265405,0.0147937031702755,0.0196607609195422,0.122643435522277,0.0900716564092891
LTU,0.0906728355079062,0.0974418033946584,0.325787489462848,0.204813320031602,0.0681565730078027,0.0553229631307125,0.163001564578156,0.115958112548298
