Country,min_mse_male_test,min_mse_female_test
AUS,0.108044716769423,0.0410120687726149
AUT,0.0945946262295209,0.0819127711994694
BEL,0.0888184365765865,0.0776598667163654
BGR,0.267107901030198,0.0937642250107345
BLR,0.301552032893203,0.243072395515978
CAN,0.0676722827581497,0.041679323506618
CHE,0.216389891376682,0.112908164810739
CZE,0.240788008219089,0.174946470721457
DEUTE,0.364581511458658,0.265646790703855
DEUTW,0.112767716230039,0.0237942756935212
DNK,0.311899954175246,0.243803539312021
ESP,0.58055758583906,0.0397847332925351
EST,0.406918815454881,0.375396858120944
FIN,0.119336407240966,0.133525859270579
FRATNP,0.0949181602276273,0.0423879252794684
GBR_NIR,0.179241902405156,0.179313054160609
GBR_NP,0.110393632627193,0.0285849777621563
GBR_SCO,0.201616882164243,0.129970214518055
GBRTENW,0.110781588103752,0.0301509348977855
GRC,0.173520688075684,0.097911677268572
HKG,0.322134350285471,0.431409216862137
HUN,0.524148915010971,0.320400630990992
IRL,0.191770550289549,0.133794868787337
ISL,0.295735474658707,0.45756045787964
ISR,0.148527697949851,0.27418636965416
ITA,0.0872204278355355,0.0251913114194732
JPN,0.133202567306188,0.139452472358188
LTU,0.325787489462848,0.204813320031602
LUX,0.418326724685524,0.224332569705102
LVA,0.409784899542674,0.29853152133765
NLD,0.12924029377648,0.0580686242951982
NOR,0.2356593957657,0.125216602224929
NZL_NP,0.21023320999198,0.104482352783035
POL,0.365709474637237,0.100774979029817
PRT,0.189291758984156,0.097984957032632
RUS,0.156512298420113,0.166477875621129
SVK,0.320100243475068,0.200202037197838
SVN,0.371490140118751,0.336885938672584
SWE,0.128014542404723,0.0735273962486242
TWN,0.134350274649561,0.0497838610453176
UKR,0.157609140474808,0.118383869223082
USA,0.0425902954360134,0.0325804860710745
