basis_form,k_base,mse_male_validation,mse_female_validation,mse_male_test,mse_female_test,Country
cs,2,0.0301459541747582,0.0235545974858223,0.103780365164294,0.0675219341657747,AUS
cs,3,0.019416035693986,0.0216496470430072,0.162870871162138,0.0601333450461163,AUS
cs,4,0.0208535983893888,0.0220065179135059,0.176825356325986,0.0673830980239803,AUS
cs,5,0.0231172657253597,0.0225744029978598,0.193371365338027,0.0732897255919102,AUS
cs,6,0.0253454911884974,0.0225931604809219,0.213820113111602,0.0737419325966306,AUS
cs,7,0.0253454911884982,0.022593160480922,0.213820113111607,0.0737419325966306,AUS
tp,2,0.0306858138160205,0.0236578158506333,0.103926956618594,0.0670729253974979,AUS
tp,3,0.019112416689283,0.0213834696025763,0.166090297282171,0.0602519071794993,AUS
tp,4,0.0190253157142201,0.0222547943515985,0.140597758099153,0.0665169839431564,AUS
tp,5,0.0240037640896264,0.0226132987804659,0.199586969187097,0.0754308419720058,AUS
tp,6,0.042820451231945,0.0249416381341608,0.492324785718565,0.132526985042072,AUS
tp,7,0.0428204512319182,0.0249416381341661,0.492324785718227,0.132526985042162,AUS
ts,2,0.0307323607626974,0.0236144308871191,0.104034018966575,0.0666869534058896,AUS
ts,3,0.0190030598179484,0.0214124471094977,0.164271614359687,0.0602737163891101,AUS
ts,4,0.0191371741490455,0.0220098803798703,0.143302944920505,0.0657877784078557,AUS
ts,5,0.0234115768976677,0.0225998386652458,0.194780529092063,0.074771072314619,AUS
ts,6,0.0415779479935681,0.0244220810973761,0.477056260704005,0.124789308176685,AUS
ts,7,0.0415779479935417,0.0244220810973813,0.477056260703672,0.124789308176774,AUS
cs,2,0.0268356513558178,0.05015910176572,0.103940316058275,0.105741945373166,AUT
cs,3,0.0420842942571062,0.0539570382010597,0.194639221068978,0.126128733736669,AUT
cs,4,0.0642981638424409,0.0560003520037063,0.41952093898296,0.150062687165645,AUT
cs,5,0.074995623964994,0.0580085146092805,0.571255634472288,0.166463566725014,AUT
cs,6,0.079447662921686,0.058569653584283,0.629797770207794,0.168445670029917,AUT
cs,7,0.079447662921687,0.0585696535842834,0.629797770207808,0.16844567002992,AUT
tp,2,0.0267657306930365,0.0500666918254365,0.105536247077952,0.104531052532712,AUT
tp,3,0.0366544341947049,0.0532550176943752,0.164226458842491,0.124231329838442,AUT
tp,4,0.0477615761832362,0.0486646351352646,0.280728427035039,0.105522036256703,AUT
tp,5,0.0738906466422127,0.0587300151154401,0.5575661209778,0.172005155844654,AUT
tp,6,0.0376655812944629,0.0536229727023639,0.171996216480629,0.119630538895788,AUT
tp,7,0.0376655813073464,0.053622972709461,0.171996216474537,0.119630538762845,AUT
ts,2,0.026800731433661,0.0500843488986445,0.106278245177691,0.104707653482631,AUT
ts,3,0.0364456519757375,0.053019624784738,0.16261241045204,0.122802345570894,AUT
ts,4,0.0477460181877042,0.0488351138828968,0.279795671340662,0.106366943521175,AUT
ts,5,0.0729982360752353,0.0582376619313741,0.547014678071332,0.167863290945847,AUT
ts,6,0.0273303504925202,0.0542729027178841,0.111210144408606,0.127176582321762,AUT
ts,7,0.0273303505784611,0.0542729025943081,0.111210144375984,0.127176581022937,AUT
cs,2,0.087926801820537,0.0528770628578162,0.271043139504176,0.15096781113081,BLR
cs,3,0.0568695003055163,0.0443228585390354,0.349372433697788,0.154991628282413,BLR
cs,4,0.0513877062789855,0.0462321173494783,0.2638420148932,0.192244817604293,BLR
cs,5,0.0529769131017248,0.0466848512774447,0.23917063145442,0.218574898618271,BLR
cs,6,0.0536971252151259,0.0473104211652464,0.236081971024431,0.226019218121303,BLR
cs,7,0.053697125215126,0.0473104211652459,0.236081971024429,0.226019218121304,BLR
tp,2,0.0862662213043087,0.0529491083438044,0.260249347057759,0.150331538310023,BLR
tp,3,0.0542714499835509,0.0438538909450658,0.366557928775371,0.160001843808462,BLR
tp,4,0.051719843147621,0.0448290602371408,0.260636931673802,0.136071849079106,BLR
tp,5,0.0556642747074094,0.0463766284484914,0.29283457680123,0.220081717694682,BLR
tp,6,0.13747867973731,0.0793456726217385,0.919332194688498,0.464095724119219,BLR
tp,7,0.137478679737598,0.0793456726216222,0.919332194692025,0.464095724117604,BLR
ts,2,0.0861138496235005,0.0529585882186753,0.259534478463526,0.150638329733979,BLR
ts,3,0.0540280214858434,0.0440066149742571,0.360132959558991,0.159741261532495,BLR
ts,4,0.0514082172019173,0.044594308906082,0.256845485691939,0.134843831001449,BLR
ts,5,0.0562368270812832,0.0466381620555166,0.285868972860287,0.21956696834341,BLR
ts,6,0.052305819916703,0.047032325218033,0.168495391574603,0.147639774677577,BLR
ts,7,0.0523058199166966,0.0470323252180347,0.168495391574593,0.1476397746776,BLR
cs,2,0.0239764520471651,0.0403915555517992,0.0894871562401485,0.110102071725032,BEL
cs,3,0.026170241041806,0.0449291728304789,0.170561175285108,0.200775459002807,BEL
cs,4,0.0363341315136895,0.0505764208492491,0.277378480721565,0.25214296342422,BEL
cs,5,0.037764165051149,0.0539886082238595,0.292092864418611,0.281840826079672,BEL
cs,6,0.0404196064512231,0.0543328535918172,0.31684086230824,0.286337698339677,BEL
cs,7,0.0404196064512233,0.0543328535918159,0.316840862308241,0.286337698339663,BEL
tp,2,0.0243238203626932,0.0405830526990268,0.0878251554632748,0.10853933830474,BEL
tp,3,0.02875702722475,0.0488861964634568,0.212709900585836,0.252088657204807,BEL
tp,4,0.0339161048606828,0.055401223069074,0.170446475099537,0.300928971048346,BEL
tp,5,0.0395160003232724,0.0554750182611481,0.306956099271697,0.294671480737259,BEL
