Country,mse_male_test_NN_non_boost,mse_female_test_NN_non_boost,mse_male_test_NN_boost,mse_female_test_NN_boost
AUS,0.0642469711034818,0.139012757238764,0.0555998603867392,0.112740948820851
AUT,0.132513635099995,0.202642939498298,0.118027730975798,0.172168304704732
BEL,0.0855112959572365,0.111615751155823,0.0791286790935995,0.093339323228523
BGR,0.0750158705565542,0.0654036705640999,0.0678565279757167,0.0604925652131508
BLR,0.119356432608531,0.163779681141295,0.115853802591149,0.154700152548813
CAN,0.0298160585324227,0.0981208415208559,0.0247530631646656,0.0767219400133141
CHE,0.153804786554356,0.238482306151559,0.146315408201004,0.213520183986063
CZE,0.12793668279492,0.219482359862173,0.10823608200722,0.173974186112824
DEUTE,0.175832673693017,0.23763027932397,0.151886875547261,0.189783770854559
DEUTW,0.035061149887048,0.092387143469351,0.031894324785228,0.0763846390650571
DNK,0.17133023340084,0.251335113937696,0.157789126846896,0.210460789596931
ESP,0.128641855416562,0.201002124198903,0.114460641455494,0.19206010698705
EST,0.283617798076965,0.415411332180949,0.269404961870632,0.387735800445716
FIN,0.119393452522786,0.177468641757482,0.107376559793392,0.154905185638463
FRACNP,0.0691284502367533,0.108192253057751,0.0618605769155116,0.0896926881734781
FRATNP,0.0697962658509388,0.108392295641437,0.0624977288105303,0.0898679192946308
GBRCENW,0.0299903920876992,0.0963875362305698,0.0249384795600602,0.0748322134078036
GBRTENW,0.0316437232635574,0.0984002065723645,0.024318847908013,0.0735079523188063
GBR_NIR,0.116946594334518,0.136628228057499,0.111804207908077,0.119526575534525
GBR_NP,0.0308415739184194,0.0970660547943629,0.0252392911537083,0.0777252684586132
GBR_SCO,0.0891462393619802,0.14688938592153,0.0827670849608851,0.125321202545415
GRC,0.090197859759821,0.0812740851995981,0.0895306021523786,0.0774249240948354
HKG,0.125938090868306,0.110612539859653,0.118461522660025,0.0978464520639555
HUN,0.141248121059574,0.233489253197842,0.126334509041153,0.201979382583638
IRL,0.174723137604994,0.206707417590003,0.152428671808511,0.175220697518729
ISL,0.197212410447732,0.245214610484617,0.190730256692949,0.231006758193229
ISR,0.0864672752336862,0.066971321024179,0.0836576124593789,0.0625558316677439
ITA,0.106258858303976,0.185819414309676,0.0894683217813203,0.158724031867691
JPN,0.0979549572589267,0.0772001734708981,0.0684429109443041,0.0671715218315791
LTU,0.155191362199388,0.202820332827937,0.143946592096275,0.18208295381211
LUX,0.184967273579591,0.282855446529697,0.174774021118892,0.25438622327732
LVA,0.191391327098037,0.317298931978715,0.189544408965861,0.297734902753224
NLD,0.0648523835700881,0.145206375461298,0.0596326025477136,0.115571516590924
NOR,0.108491711992471,0.198974403348993,0.100051971746332,0.163993928743641
NZL_MA,0.179637685131677,0.182363776933474,0.170251703964977,0.172510760209636
NZL_NM,0.124114011501733,0.130636246739707,0.117335205576065,0.106381813542607
NZL_NP,0.0960969989702137,0.138372577405588,0.0910719083102904,0.11711834433212
POL,0.0877796004806651,0.148745089457417,0.0708809985094433,0.114128999484683
PRT,0.273279996767568,0.334882196162438,0.250022776302726,0.311830336761124
RUS,0.0593760750621986,0.0717771780955744,0.0468060637850735,0.0629690699699389
SVK,0.102170004984822,0.142383602491388,0.0881320473208778,0.115331234898259
SVN,0.163212773944552,0.211426847951577,0.15810284399393,0.195456870752304
SWE,0.079207901616054,0.14992048905775,0.0739326133985106,0.123578551224773
TWN,0.0908750080693627,0.121528992309043,0.0819349379480005,0.107309230097108
UKR,0.0523014026709868,0.0519678275524951,0.0438866431729785,0.048682538776486
USA,0.0187839763100324,0.0320431121248872,0.0200991453723572,0.0240234078027291
