Country,Sex,variable,V1
AUS,Female,preds,0.0547758097573641
AUS,Female,preds_boost,0.0478364757610174
AUS,Female,pred_LC_svd,0.043404583005176
AUS,Female,LCwithGAM,0.0755948467366112
AUS,Female,RotatedLC,0.0411625775227181
AUS,Female,stacked,0.042381555003513
AUS,Male,preds,0.0995330515261543
AUS,Male,preds_boost,0.0770728433053546
AUS,Male,pred_LC_svd,0.0612184285913647
AUS,Male,LCwithGAM,0.115906032506165
AUS,Male,RotatedLC,0.0599252428539736
AUS,Male,stacked,0.0708364536665257
AUT,Female,preds,0.104156953247284
AUT,Female,preds_boost,0.0913503828329725
AUT,Female,pred_LC_svd,0.0823227066510881
AUT,Female,LCwithGAM,0.0752738435184857
AUT,Female,RotatedLC,0.079503933735378
AUT,Female,stacked,0.07511548682728
AUT,Male,preds,0.158468469523658
AUT,Male,preds_boost,0.117428882847733
AUT,Male,pred_LC_svd,0.101702768268879
AUT,Male,LCwithGAM,0.0588136140810707
AUT,Male,RotatedLC,0.0558105567580015
AUT,Male,stacked,0.0717090510553686
BEL,Female,preds,0.0788602848414224
BEL,Female,preds_boost,0.0723392220039851
BEL,Female,pred_LC_svd,0.0647976313055954
BEL,Female,LCwithGAM,0.0770134823852767
BEL,Female,RotatedLC,0.0660244054948189
BEL,Female,stacked,0.0665065232185798
BEL,Male,preds,0.112234216063904
BEL,Male,preds_boost,0.0841229705547261
BEL,Male,pred_LC_svd,0.0937416480422808
BEL,Male,LCwithGAM,0.0774137837495157
BEL,Male,RotatedLC,0.0729855096293557
BEL,Male,stacked,0.0735462426882988
BGR,Female,preds,0.0888953622194863
BGR,Female,preds_boost,0.0767984824386094
BGR,Female,pred_LC_svd,0.0725141892065278
BGR,Female,LCwithGAM,0.0776380927108754
BGR,Female,RotatedLC,0.105100209226856
BGR,Female,stacked,0.0710266547169698
BGR,Male,preds,0.0690678560225628
BGR,Male,preds_boost,0.0631706086045198
BGR,Male,pred_LC_svd,0.0539618367748512
BGR,Male,LCwithGAM,0.0807109381952853
BGR,Male,RotatedLC,0.212051523157525
BGR,Male,stacked,0.106130669380085
BLR,Female,preds,0.122653660526661
BLR,Female,preds_boost,0.108433170535014
BLR,Female,pred_LC_svd,0.117484695989865
BLR,Female,LCwithGAM,0.281002049822612
BLR,Female,RotatedLC,0.355294390825096
BLR,Female,stacked,0.232712018205149
BLR,Male,preds,0.174965366559463
BLR,Male,preds_boost,0.146857769016234
BLR,Male,pred_LC_svd,0.234666921863859
BLR,Male,LCwithGAM,0.264635499542673
BLR,Male,RotatedLC,0.319880602798117
BLR,Male,stacked,0.2312937949449
CAN,Female,preds,0.0246538178551677
CAN,Female,preds_boost,0.0206530148119837
CAN,Female,pred_LC_svd,0.0354107046810807
CAN,Female,LCwithGAM,0.0584631665014732
CAN,Female,RotatedLC,0.0277603916597784
CAN,Female,stacked,0.0249144904505965
CAN,Male,preds,0.0698588988396794
CAN,Male,preds_boost,0.0461695037718542
CAN,Male,pred_LC_svd,0.0452570582429462
CAN,Male,LCwithGAM,0.0840339022697188
CAN,Male,RotatedLC,0.0340101408327452
CAN,Male,stacked,0.0403714578899029
CHE,Female,preds,0.16143692669107
CHE,Female,preds_boost,0.152048731496191
CHE,Female,pred_LC_svd,0.137314842488351
CHE,Female,LCwithGAM,0.103296067517295
CHE,Female,RotatedLC,0.108130827490867
CHE,Female,stacked,0.109347678413854
CHE,Male,preds,0.237242670919469
CHE,Male,preds_boost,0.197147475562496
CHE,Male,pred_LC_svd,0.155184726685708
CHE,Male,LCwithGAM,0.10446199423609
CHE,Male,RotatedLC,0.118979798099357
CHE,Male,stacked,0.130275167536098
CZE,Female,preds,0.110524343909825
CZE,Female,preds_boost,0.0818006430344953
CZE,Female,pred_LC_svd,0.0859510923971186
CZE,Female,LCwithGAM,0.0636485796237379
CZE,Female,RotatedLC,0.0607654506011413
CZE,Female,stacked,0.0633082884305378
CZE,Male,preds,0.187814456333583
CZE,Male,preds_boost,0.123047355360328
CZE,Male,pred_LC_svd,0.139815427808549
CZE,Male,LCwithGAM,0.0962038536505525
CZE,Male,RotatedLC,0.160709756673344
CZE,Male,stacked,0.113801249963464
DEUTE,Female,preds,0.150453550109423
DEUTE,Female,preds_boost,0.105957492174347
DEUTE,Female,pred_LC_svd,0.0875065580893242
DEUTE,Female,LCwithGAM,0.105367610961628
DEUTE,Female,RotatedLC,0.0836220024312214
DEUTE,Female,stacked,0.0880258364455638
DEUTE,Male,preds,0.2421820742551
DEUTE,Male,preds_boost,0.16042406175851
DEUTE,Male,pred_LC_svd,0.208812825307342
DEUTE,Male,LCwithGAM,0.143518465695546
DEUTE,Male,RotatedLC,0.206686962798255
DEUTE,Male,stacked,0.156308444909818
DEUTW,Female,preds,0.0283310013485191
DEUTW,Female,preds_boost,0.0228925296058874
DEUTW,Female,pred_LC_svd,0.0216067357901502
DEUTW,Female,LCwithGAM,0.0252046673760486
DEUTW,Female,RotatedLC,0.0216443729983109
DEUTW,Female,stacked,0.0193376688985425
DEUTW,Male,preds,0.0762088344399586
DEUTW,Male,preds_boost,0.0493279989950382
DEUTW,Male,pred_LC_svd,0.0445473852866717
DEUTW,Male,LCwithGAM,0.0284541651135144
DEUTW,Male,RotatedLC,0.0729556704909721
DEUTW,Male,stacked,0.0267894109073068
DNK,Female,preds,0.181841636284663
DNK,Female,preds_boost,0.160422706525721
DNK,Female,pred_LC_svd,0.146376113497049
DNK,Female,LCwithGAM,0.140552692985812
DNK,Female,RotatedLC,0.165303022124259
DNK,Female,stacked,0.141395418431406
DNK,Male,preds,0.256372940476987
DNK,Male,preds_boost,0.195683402264205
DNK,Male,pred_LC_svd,0.233625711179222
DNK,Male,LCwithGAM,0.1353874162209
DNK,Male,RotatedLC,0.304914000836348
DNK,Male,stacked,0.187825920341517
ESP,Female,preds,0.131885206846244
ESP,Female,preds_boost,0.108532785382901
ESP,Female,pred_LC_svd,0.0399817451594489
ESP,Female,LCwithGAM,0.085485228487992
ESP,Female,RotatedLC,0.0673717658868018
ESP,Female,stacked,0.0502977839008067
ESP,Male,preds,0.203043612981286
ESP,Male,preds_boost,0.186120754042911
ESP,Male,pred_LC_svd,0.091741183190512
ESP,Male,LCwithGAM,0.188640751585665
ESP,Male,RotatedLC,0.172504910019623
